modelo,marca,ano,quilometragem,potenciamotor,combustivel,cambio,direcao,cor,portas,finalplaca,vidroeletrico,travaeletrica,arcondicionado,direcaohidraulica,som,airbag,alarme,sensorre,camerare,blindado,valor
PEUGEOT 307 SOLEIL/ PRESENCE 1.6/1.6 FLEX 16V 5P,PEUGEOT,2009,183000,1.6,Flex,Manual,Hidráulica,Preto,4,3,1,1,1,1,1,0,1,0,0,0,17000.0
PEUGEOT 206 SW ESCAPADE 1.6 16V FLEX 5P,PEUGEOT,2008,0,1.6,Flex,Manual,Hidráulica,Prata,4,3,1,1,1,1,1,0,1,0,0,0,15000.0
PEUGEOT 208 GRIFFE BUS. 1.6 FLEX 5P AUT.(PCD),PEUGEOT,2015,49000,1.6,Flex,Automático,Elétrica,Cinza,4,9,1,1,1,1,1,1,1,1,0,0,49990.0
PEUGEOT 207 SW XR SPORT 1.4 FLEX 8V 5P,PEUGEOT,2010,158942,1.4,Flex,Manual,Hidráulica,Prata,4,7,1,1,1,1,1,1,1,1,0,0,15500.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2011,97000,1.4,Flex,Manual,Hidráulica,Cinza,4,4,1,1,1,1,1,0,1,1,0,0,19000.0
PEUGEOT 308 ALLURE 1.6 FLEX 16V 5P MEC.,PEUGEOT,2013,110000,1.6,Flex,Manual,Hidráulica,Branco,4,0,1,1,1,1,1,1,1,1,0,0,27000.0
PEUGEOT 206 TECHNO/ FELINE 1.6/ 1.6 FLEX 16V 5P,PEUGEOT,2006,155000,1.6,Flex,Manual,Hidráulica,Prata,4,0,1,1,1,1,1,1,1,0,0,0,13000.0
PEUGEOT 408 SEDAN GRIFFE 1.6 TURBO 16V 4P AUT.,PEUGEOT,2013,100000,1.6,Gasolina,Automático,Hidráulica,Azul,4,0,1,1,1,1,1,1,1,1,1,0,35000.0
PEUGEOT 206 HOLIDAY 1.4 8V 75CV 5P,PEUGEOT,2005,100,1.4,Gasolina,Manual,Hidráulica,Prata,4,6,1,1,1,1,1,1,1,0,0,0,8500.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2013,180000,1.4,Flex,Manual,Hidráulica,Branco,4,7,1,1,1,1,1,1,1,1,0,0,21000.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2009,131500,1.4,Flex,Manual,Hidráulica,Preto,4,7,1,1,1,1,0,1,1,0,0,0,0.0
PEUGEOT 307 FELINE/GRIFF/PREMI. 2.0 FLEX 5P AUT.,PEUGEOT,2013,74000,2.0,Flex,Automático,Elétrica,Preto,4,9,1,1,1,0,1,1,1,1,1,0,35000.0
PEUGEOT 207 SEDAN PASSION XS 1.6 FLEX 16V 4P,PEUGEOT,2011,108000,1.6,Flex,Automático,Hidráulica,Cinza,4,2,1,1,1,1,0,1,1,0,0,0,21000.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2012,85000,1.4,Flex,Manual,Hidráulica,Preto,4,9,1,1,1,1,0,0,1,0,0,0,24000.0
PEUGEOT 206 RALLYE 1.6,PEUGEOT,2000,200000,1.6,Gasolina,Manual,Hidráulica,Vermelho,2,8,1,1,1,1,1,1,1,0,0,0,11000.0
PEUGEOT 207 XS 1.6 FLEX 16V 5P,PEUGEOT,2010,153000,1.6,Flex,Manual,Hidráulica,Verde,4,4,1,1,1,1,1,1,1,0,0,0,21000.0
PEUGEOT 207 XS 1.6 FLEX 16V 5P,PEUGEOT,2010,140896,1.6,Flex,Manual,Hidráulica,Preto,4,0,1,1,1,1,1,0,1,1,0,0,18500.0
PEUGEOT 207 QUIKSILVER 1.4 FLEX 8V 5P,PEUGEOT,2010,98521,1.4,Flex,Manual,Mecânica,Prata,4,6,1,1,1,1,1,1,1,1,0,0,15900.0
